age,membership_years,number_of_children,quantity,unit_price,avg_purchase_value,purchase_frequency,avg_discount_used,online_purchases,in_store_purchases,total_transactions,total_items_purchased,promotion_effectiveness,days_since_last_purchase,loyalty_program,promo_flag,gender_Female,gender_Male,gender_Other,income_bracket_High,income_bracket_Low,income_bracket_Medium,marital_status_Divorced,marital_status_Married,marital_status_Single,education_level_Bachelor's,education_level_High School,education_level_Master's,education_level_PhD,occupation_Employed,occupation_Retired,occupation_Self-Employed,occupation_Student,occupation_Unemployed,product_category_Beauty,product_category_Books,product_category_Clothing,product_category_Electronics,product_category_Groceries,product_category_Home,product_category_Home Goods,product_category_Sports,product_category_Toys,promotion_type_20% Off,promotion_type_BOGO,promotion_type_Buy One Get One Free,promotion_type_Discount,promotion_type_Seasonal Discount,churn_prob
67,10,4,2.295774647887324,51.92535211267605,120.81211267605632,7.1,0.23,213,0,2982,1846,1.0,492,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.99
47,3,4,2.887323943661972,45.95253521126761,133.6919718309859,23.666666666666668,0.06,284,0,639,1775,1.0,492,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.98
39,10,4,2.4722222222222223,49.293055555555554,123.39625,7.199999999999999,0.22,144,0,1800,7056,1.0,514,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.965
51,13,0,2.647887323943662,45.35422535211268,120.1850704225352,5.461538461538462,11.337021491248372,639,71,2769,1704,1.0,375,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
37,11,3,2.458333333333333,48.973194444444445,122.31347222222222,6.545454545454546,0.09,0,288,2088,4104,1.0,372,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
36,14,1,2.625,47.32347222222222,124.53277777777778,5.142857142857143,0.23,144,0,1728,6264,1.0,373,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.005
49,6,1,2.486111111111111,50.906527777777775,125.61763888888888,12.0,0.15,432,0,1008,5616,1.0,372,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.005
42,13,2,2.718309859154929,50.6843661971831,140.28661971830985,5.461538461538462,0.01,426,0,497,7384,1.0,384,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
26,15,3,2.4507042253521125,48.07,118.39211267605634,4.733333333333333,0.09,213,0,1633,2698,1.0,384,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.01
48,11,0,2.5774647887323945,51.69394366197183,132.6056338028169,6.454545454545454,11.7797599545946,497,568,426,5112,1.0,378,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
59,13,1,2.5211267605633805,47.566901408450704,118.95718309859156,5.461538461538462,0.02,142,0,639,5822,1.0,379,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.005
20,1,1,2.513888888888889,46.40736111111111,119.11097222222222,72.0,0.22,288,0,3600,4680,1.0,371,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.005
54,12,2,2.507042253521127,51.53323943661972,127.55084507042254,5.916666666666667,0.08,0,142,2769,4047,1.0,372,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
32,8,0,2.5,49.94236111111111,126.44597222222222,9.0,0.08,216,0,3600,5688,1.0,374,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
30,4,0,2.422535211267605,51.37394366197184,124.34295774647887,17.75,0.18,284,0,2982,2485,1.0,496,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.99
60,2,0,2.422535211267605,52.11929577464788,125.68154929577464,35.5,0.01,355,0,1207,2911,1.0,370,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
48,10,4,2.583333333333333,47.28486111111111,120.83180555555556,7.199999999999999,13.396364307572856,0,288,432,864,1.0,389,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0
37,9,4,2.5,50.30111111111111,129.3127777777778,8.0,0.25,216,0,648,5112,1.0,383,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0
55,10,4,2.486111111111111,49.64152777777778,122.82069444444444,7.199999999999999,0.04,0,72,3456,5976,1.0,377,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.005
