customer_id,age,membership_years,number_of_children,quantity,unit_price,avg_purchase_value,purchase_frequency,avg_discount_used,online_purchases,in_store_purchases,total_sales,total_transactions,total_items_purchased,promotion_effectiveness,days_since_last_purchase,gender,income_bracket,marital_status,education_level,occupation,product_category,promotion_type,transaction_date,last_purchase_date,loyalty_program,churn,promo_flag
C1000,33,1,2,3.125,54.51259279750018,167.76189835305573,72.0,0.3092618503172232,173,57,12078.856681420013,3023,4184,0.5416666666666666,920,Other,Medium,Divorced,Master's,Retired,Electronics,no_promotion,2023-06-23,2023-06-23,1,0,1
C1001,52,8,3,2.763888888888889,50.9560455864406,144.69640456798464,9.0,0.22138303429902145,137,70,10418.141128894895,3671,7395,0.625,912,Female,Medium,Divorced,Master's,Unemployed,Home,no_promotion,2023-07-01,2023-07-01,1,0,1
C1002,67,10,4,2.9722222222222223,47.204001226499535,143.69797590172084,7.199999999999999,0.3548353248200475,170,54,10346.2542649239,3023,1867,0.6527777777777778,911,Female,High,Divorced,Bachelor's,Student,Home,BOGO,2023-07-02,2023-07-02,1,1,1
C1003,32,4,3,3.3194444444444446,51.35018389891796,173.64300282792314,18.0,0.30046695606895474,183,64,12502.296203610465,2303,2178,0.5972222222222222,914,Female,Medium,Single,Bachelor's,Employed,Books,no_promotion,2023-06-29,2023-06-29,1,0,1
C1004,34,10,4,3.263888888888889,47.94309572377574,157.12293845065852,7.199999999999999,0.3388852552499523,160,76,11312.851568447413,2087,1455,0.6388888888888888,919,Male,High,Single,Bachelor's,Self-Employed,Electronics,Discount,2023-06-24,2023-06-24,1,0,1
C1005,37,5,2,3.25,49.16868909178863,156.06202242512197,14.399999999999999,0.30216496066452264,154,83,11236.465614608782,2879,2105,0.6111111111111112,908,Male,Low,Divorced,Bachelor's,Retired,Beauty,no_promotion,2023-07-05,2023-07-05,0,0,1
C1006,64,7,1,2.9166666666666665,51.59321212254081,148.51550505714852,10.285714285714286,0.22614056968727475,122,86,10693.116364114694,719,2797,0.5833333333333334,910,Other,Low,Married,High School,Retired,Clothing,no_promotion,2023-07-03,2023-07-03,0,1,1
C1007,44,7,2,2.986111111111111,55.01368630512249,159.44300335981194,10.285714285714286,0.31911757058099544,133,83,11479.89624190646,1079,7196,0.5833333333333334,919,Female,High,Divorced,High School,Retired,Clothing,no_promotion,2023-06-24,2023-06-24,1,0,1
C1008,41,11,4,3.0555555555555554,50.864727112575586,156.21085289474678,6.545454545454546,0.33865039014232595,156,73,11247.181408421768,2159,6480,0.6666666666666666,907,Other,High,Married,Master's,Student,Books,BOGO,2023-07-06,2023-07-06,1,0,1
C1009,51,9,2,3.138888888888889,48.60336913981768,152.47962347686618,8.0,0.25603867357643056,161,72,10978.532890334365,1943,1301,0.6944444444444444,904,Other,Medium,Divorced,PhD,Employed,Beauty,BOGO,2023-07-09,2023-07-09,0,0,1
C1010,31,3,3,2.875,49.441896207961236,143.17592398573902,24.0,0.22559957840292302,160,62,10308.66652697321,2879,1430,0.625,923,Female,Low,Single,PhD,Retired,Sports,no_promotion,2023-06-20,2023-06-20,1,0,1
C1011,32,2,1,3.1527777777777777,46.42548323582156,145.88881081857576,36.0,0.3077275153810062,190,37,10503.994378937456,3383,5192,0.5972222222222222,902,Other,Medium,Married,Master's,Retired,Clothing,no_promotion,2023-07-11,2023-07-11,0,0,1
C1012,43,10,0,2.5833333333333335,55.12994515493863,142.38216737716087,7.199999999999999,0.3000428912396357,137,57,10251.516051155582,3311,2129,0.6111111111111112,910,Other,Medium,Married,PhD,Employed,Home,no_promotion,2023-07-03,2023-07-03,0,0,1
C1013,36,14,1,2.736111111111111,51.09222532089029,137.83278707378201,5.142857142857143,0.24093058717005128,142,60,9923.960669312304,1799,2210,0.5833333333333334,901,Female,High,Single,High School,Self-Employed,Beauty,no_promotion,2023-07-12,2023-07-12,0,1,1
C1014,41,10,1,2.875,48.10562763355345,140.0122943002201,7.199999999999999,0.3111872198179088,161,56,10080.885189615849,575,6326,0.5972222222222222,904,Female,High,Single,PhD,Self-Employed,Home,no_promotion,2023-07-09,2023-07-09,1,0,1
C1015,46,14,2,3.0277777777777777,52.935276653003335,153.76471659835,5.142857142857143,0.34384837303967014,145,72,11071.059595081198,1079,2877,0.5972222222222222,898,Other,High,Married,PhD,Student,Home,no_promotion,2023-07-15,2023-07-15,1,0,1
C1016,22,15,2,2.5972222222222223,51.2576517227647,134.5415534455294,4.8,0.2952017356819948,149,53,9686.991848078116,2735,2561,0.6666666666666666,898,Male,Low,Divorced,High School,Self-Employed,Beauty,BOGO,2023-07-15,2023-07-15,0,0,1
C1017,31,8,4,3.0972222222222223,53.09334159762895,169.98253305718245,9.0,0.22859689355160814,152,78,12238.742380117137,3095,4755,0.625,911,Other,High,Single,Bachelor's,Student,Home,no_promotion,2023-07-02,2023-07-02,0,0,1
C1018,22,14,0,3.0555555555555554,48.80394454480874,148.56413908961747,5.142857142857143,0.2166396599430893,142,90,10696.618014452459,2879,1946,0.5972222222222222,895,Female,High,Divorced,PhD,Self-Employed,Beauty,no_promotion,2023-07-18,2023-07-18,0,0,1
C1019,66,12,0,2.8194444444444446,53.41006800908382,151.67131800908382,6.0,0.21574321695228257,139,69,10920.334896654034,3455,2506,0.6527777777777778,897,Other,High,Single,High School,Self-Employed,Clothing,BOGO,2023-07-16,2023-07-16,1,0,1
C1020,50,7,3,3.0,50.625988827788454,155.49147191672003,10.285714285714286,0.3286100141141568,140,77,11195.385978003842,2807,6331,0.5416666666666666,893,Female,Low,Single,Master's,Unemployed,Electronics,no_promotion,2023-07-20,2023-07-20,1,0,1
C1021,51,1,2,2.611111111111111,50.860873306286436,133.20938550146175,72.0,0.2679348016061811,123,75,9591.075756105247,1511,6378,0.5416666666666666,892,Male,High,Married,PhD,Student,Electronics,no_promotion,2023-07-21,2023-07-21,1,0,1
C1022,70,9,0,2.9444444444444446,49.1132053654778,141.16834425436667,8.0,0.3291003964027066,134,83,10164.1207863144,1079,2083,0.6527777777777778,892,Other,Medium,Divorced,PhD,Employed,Clothing,BOGO,2023-07-21,2023-07-21,0,0,1
C1023,39,13,0,2.7916666666666665,50.562601084455,143.70496219556608,5.538461538461538,0.3121416213396317,140,66,10346.757278080759,1367,1856,0.625,890,Other,Low,Divorced,Bachelor's,Retired,Beauty,Discount,2023-07-23,2023-07-23,0,0,1
C1024,49,6,1,3.3472222222222223,53.64309949980559,180.6361919434724,12.0,0.31451814752887314,155,83,13005.805819930012,1007,5420,0.5694444444444444,889,Female,Medium,Divorced,Master's,Retired,Home,no_promotion,2023-07-24,2023-07-24,1,0,1
C1025,37,10,0,3.0555555555555554,56.11401636510955,164.44915525399844,7.199999999999999,0.33331100534566716,140,89,11840.339178287888,1439,1371,0.6111111111111112,890,Female,High,Single,Master's,Employed,Electronics,no_promotion,2023-07-23,2023-07-23,1,1,1
C1026,22,2,3,2.9444444444444446,51.07064742760483,147.50027561614783,36.0,0.24015897637011477,156,64,10620.019844362643,1655,5753,0.5833333333333334,898,Male,Low,Married,Master's,Unemployed,Beauty,no_promotion,2023-07-15,2023-07-15,0,1,1
C1027,60,1,2,3.0833333333333335,52.963080150440234,163.51044126155136,72.0,0.30693379772521573,175,59,11772.751770831697,2591,6845,0.5416666666666666,888,Other,Medium,Married,High School,Employed,Home,no_promotion,2023-07-25,2023-07-25,1,1,1
C1028,30,12,1,3.111111111111111,47.97118229501064,143.52111459002128,6.0,0.2996171761158516,152,77,10333.520250481532,3239,7206,0.625,897,Male,Low,Divorced,Master's,Employed,Electronics,no_promotion,2023-07-16,2023-07-16,0,0,1
C1029,43,5,1,3.263888888888889,52.358213738665015,165.04952162132673,14.399999999999999,0.24208353380196504,186,53,11883.565556735524,3167,5487,0.5694444444444444,895,Male,High,Married,High School,Employed,Sports,no_promotion,2023-07-18,2023-07-18,1,1,1
C1030,28,9,4,3.0416666666666665,49.250292881279115,152.44351753272622,8.0,0.29822129261993224,160,71,10975.933262356288,2303,2520,0.5972222222222222,891,Male,High,Married,Master's,Self-Employed,Beauty,no_promotion,2023-07-22,2023-07-22,1,0,1
C1031,25,6,4,3.2222222222222223,52.539307215210655,168.05041998597687,12.0,0.24367300369803926,175,70,12099.630238990334,2015,1310,0.625,891,Female,Low,Married,Master's,Student,Home,no_promotion,2023-07-22,2023-07-22,0,1,1
C1032,66,12,0,3.0,48.929570288442854,154.26123695510952,6.0,0.3202348098379034,150,73,11106.809060767886,2015,6839,0.6388888888888888,881,Male,Medium,Divorced,PhD,Self-Employed,Books,no_promotion,2023-08-01,2023-08-01,0,0,1
C1033,37,13,0,2.9583333333333335,51.49257534714669,150.39368645825778,5.538461538461538,0.33865623924020904,165,62,10828.34542499456,1511,2084,0.75,886,Other,Medium,Single,Master's,Self-Employed,Beauty,Discount,2023-07-27,2023-07-27,1,0,1
C1034,32,2,0,3.1944444444444446,54.99572231824869,173.5971948285503,36.0,0.24289072343122095,150,86,12498.998027655622,791,5770,0.5416666666666666,889,Male,Low,Single,Master's,Unemployed,Sports,no_promotion,2023-07-24,2023-07-24,0,0,1
C1035,50,2,0,3.0972222222222223,50.31651293188114,145.84929070965893,36.0,0.31257540126593997,174,56,10501.148931095442,1727,6702,0.6388888888888888,881,Male,Medium,Single,PhD,Employed,Clothing,no_promotion,2023-08-01,2023-08-01,1,0,1
C1036,58,4,4,2.736111111111111,47.813141271636844,129.15300238274796,18.0,0.2580616565587949,160,50,9299.016171557852,2807,2212,0.5555555555555556,877,Other,Low,Married,PhD,Unemployed,Books,no_promotion,2023-08-05,2023-08-05,0,0,1
C1037,36,5,4,3.0833333333333335,54.08973981476659,167.84036574049958,14.399999999999999,0.22390911221373744,167,60,12084.50633331597,791,5473,0.5416666666666666,883,Female,High,Single,Master's,Student,Books,no_promotion,2023-07-30,2023-07-30,0,0,1
C1038,66,11,2,3.3472222222222223,50.2056099352133,166.20835758341772,6.545454545454546,0.22361356281824163,185,61,11967.001746006075,3311,4702,0.7083333333333334,884,Other,High,Married,Master's,Self-Employed,Beauty,Discount,2023-07-29,2023-07-29,1,0,1
C1039,51,14,1,2.861111111111111,54.23173937901971,150.9836176469283,5.142857142857143,0.23079099157674113,144,70,10870.820470578838,2015,5100,0.7361111111111112,881,Other,Medium,Married,PhD,Employed,Home,BOGO,2023-08-01,2023-08-01,1,0,1
C1040,58,1,1,3.0833333333333335,52.116417185408686,157.96814044511495,72.0,0.2954639753715804,178,52,11373.706112048276,1583,4827,0.5833333333333334,876,Female,Low,Divorced,Master's,Employed,Clothing,no_promotion,2023-08-06,2023-08-06,1,1,1
C1041,48,15,2,3.2916666666666665,47.56454055438757,154.43987166316273,4.8,0.2537100571045578,152,86,11119.670759747716,503,4626,0.5555555555555556,874,Male,High,Divorced,PhD,Student,Sports,no_promotion,2023-08-08,2023-08-08,0,1,1
C1042,38,4,1,2.861111111111111,49.16859838984712,139.18066900191647,18.0,0.248438443906051,148,64,10021.008168137985,1727,2796,0.6388888888888888,877,Female,High,Divorced,Bachelor's,Employed,Clothing,no_promotion,2023-08-05,2023-08-05,1,1,1
C1043,68,5,1,2.8472222222222223,53.52161675922587,152.8938780554554,14.399999999999999,0.2737880076299539,145,65,11008.359219992788,2447,3226,0.5555555555555556,874,Male,High,Married,Master's,Self-Employed,Clothing,no_promotion,2023-08-08,2023-08-08,1,1,1
C1044,69,10,2,2.8055555555555554,49.75630799697449,137.15567154950452,7.199999999999999,0.30970168662634245,143,71,9875.208351564326,1151,3152,0.5972222222222222,869,Other,Medium,Divorced,Bachelor's,Unemployed,Books,no_promotion,2023-08-13,2023-08-13,0,0,1
C1045,23,5,0,2.9583333333333335,48.36137513102715,144.01929179769382,14.399999999999999,0.3096087027062009,133,91,10369.389009433955,2087,1436,0.6388888888888888,879,Other,High,Divorced,High School,Unemployed,Beauty,no_promotion,2023-08-03,2023-08-03,0,0,1
C1046,62,12,1,3.1805555555555554,51.6818669361417,160.77913441123349,6.0,0.2764899883731655,164,75,11576.09767760881,2951,3609,0.6111111111111112,868,Other,Low,Single,Master's,Employed,Electronics,no_promotion,2023-08-14,2023-08-14,1,1,1
C1047,70,9,4,2.6805555555555554,47.5802031510907,129.77366500882766,8.0,0.245991832460351,127,68,9343.703880635592,1367,4006,0.6527777777777778,866,Male,Low,Married,Master's,Unemployed,Clothing,no_promotion,2023-08-16,2023-08-16,1,1,1
C1048,54,14,2,3.0,48.61564489949993,145.25424626466636,5.142857142857143,0.25254656776359047,156,68,10458.305731055978,863,1220,0.5972222222222222,874,Female,High,Divorced,Bachelor's,Retired,Clothing,no_promotion,2023-08-08,2023-08-08,1,0,1
C1049,35,12,0,2.861111111111111,52.51835671242927,147.1153011568737,6.0,0.22407767647427235,176,42,10592.301683294907,935,5821,0.5694444444444444,864,Male,High,Divorced,Master's,Employed,Clothing,no_promotion,2023-08-18,2023-08-18,1,0,1
C1050,49,11,4,3.3194444444444446,44.94462644469976,150.20549333460988,6.545454545454546,0.29161489206485236,160,82,10814.795520091911,2951,4914,0.6666666666666666,867,Male,Medium,Married,Bachelor's,Unemployed,Home,Discount,2023-08-15,2023-08-15,0,0,1
C1051,55,1,4,3.361111111111111,48.12793072625935,171.7889591868523,72.0,0.3129709689698975,189,60,12368.805061453366,2591,3837,0.5138888888888888,864,Other,Low,Divorced,Master's,Employed,Electronics,no_promotion,2023-08-18,2023-08-18,0,0,1
C1052,38,8,2,2.986111111111111,50.569472211230234,148.51652772281784,9.0,0.3010008698336153,155,65,10693.189996042884,431,1434,0.5694444444444444,874,Female,High,Divorced,Master's,Self-Employed,Clothing,no_promotion,2023-08-08,2023-08-08,0,0,1
C1053,34,8,4,2.7777777777777777,51.865806091938865,143.7824182758166,9.0,0.27260626651280295,144,60,10352.334115858795,1367,1925,0.625,867,Female,High,Single,Master's,Unemployed,Beauty,no_promotion,2023-08-15,2023-08-15,0,0,1
C1054,40,4,2,2.9166666666666665,50.650183192676394,148.98351652600974,18.0,0.2564484956745184,155,64,10726.8131898727,2807,5897,0.5416666666666666,859,Male,Medium,Single,Bachelor's,Unemployed,Clothing,no_promotion,2023-08-23,2023-08-23,1,0,1
C1055,66,12,1,2.7777777777777777,48.85318168002703,137.53371170674777,6.0,0.2149303242414461,131,76,9902.427242885838,3239,4877,0.6805555555555556,862,Female,High,Divorced,High School,Unemployed,Books,BOGO,2023-08-20,2023-08-20,0,1,1
C1056,26,10,2,2.9305555555555554,52.74579739750761,155.08947552585613,7.199999999999999,0.3009088567959543,142,82,11166.442237861642,1655,3232,0.6805555555555556,865,Other,High,Single,High School,Student,Sports,BOGO,2023-08-17,2023-08-17,0,1,1
C1057,60,4,0,2.875,52.16874936011563,148.6213863293514,18.0,0.3304822621019736,130,77,10700.739815713301,2015,4955,0.5694444444444444,862,Male,Medium,Married,PhD,Retired,Books,no_promotion,2023-08-20,2023-08-20,0,0,1
C1058,68,11,4,2.8055555555555554,49.77290383912091,140.4505427280098,6.545454545454546,0.2684488075676424,158,56,10112.439076416706,2879,1857,0.5555555555555556,859,Female,Low,Single,Master's,Self-Employed,Books,no_promotion,2023-08-23,2023-08-23,1,1,1
C1059,40,12,1,3.2777777777777777,47.532392546871414,153.11814986283647,6.0,0.2787986230312837,189,45,11024.506790124226,2879,1241,0.5833333333333334,864,Other,High,Single,PhD,Student,Clothing,no_promotion,2023-08-18,2023-08-18,0,1,1
C1060,56,10,2,3.0555555555555554,51.46919187586777,151.5098863203122,7.199999999999999,0.28205269248984294,152,73,10908.71181506248,3383,2091,0.5138888888888888,855,Male,Medium,Single,PhD,Employed,Clothing,no_promotion,2023-08-27,2023-08-27,0,1,1
C1061,54,4,4,2.7777777777777777,48.13570930074579,131.27630942520537,18.0,0.33619761887131566,166,47,9451.894278614787,3383,4804,0.5277777777777778,857,Female,Medium,Divorced,Master's,Retired,Home,no_promotion,2023-08-25,2023-08-25,1,0,1
C1062,39,4,0,2.736111111111111,47.28321323302553,134.36491747685437,18.0,0.22332554029820764,133,67,9674.274058333514,863,5954,0.6666666666666666,852,Male,High,Single,Master's,Retired,Electronics,BOGO,2023-08-30,2023-08-30,1,1,1
C1063,57,10,1,3.3333333333333335,49.09443485919899,165.1739798515505,7.199999999999999,0.31079608749107046,164,79,11892.526549311637,2447,4843,0.6111111111111112,857,Male,High,Divorced,PhD,Self-Employed,Electronics,no_promotion,2023-08-25,2023-08-25,1,1,1
C1064,52,12,4,3.0277777777777777,51.16253210407049,155.2909296455448,6.0,0.27102746357909047,143,76,11180.946934479225,431,7127,0.625,862,Other,High,Divorced,PhD,Unemployed,Beauty,no_promotion,2023-08-20,2023-08-20,0,1,1
C1065,47,5,3,3.138888888888889,49.6706050194286,155.6579661305397,14.399999999999999,0.22706389510196168,145,85,11207.37356139886,575,6201,0.5972222222222222,848,Female,Medium,Divorced,Bachelor's,Self-Employed,Sports,no_promotion,2023-09-03,2023-09-03,1,1,1
C1066,20,2,1,2.8194444444444446,47.289223333587096,134.381672223491,36.0,0.3423482296757922,138,75,9675.480400091352,2663,3294,0.5833333333333334,848,Other,Low,Single,Master's,Unemployed,Clothing,no_promotion,2023-09-03,2023-09-03,0,0,1
C1067,40,6,0,2.9444444444444446,48.219313919860994,139.72308064847186,12.0,0.23808740635399633,175,53,10060.061806689975,3383,1649,0.5972222222222222,851,Male,Low,Single,High School,Student,Clothing,no_promotion,2023-08-31,2023-08-31,0,0,1
C1068,27,4,0,3.0694444444444446,51.027150829022865,159.3581230512451,18.0,0.21566113466694578,155,80,11473.784859689646,1295,5692,0.6527777777777778,849,Female,High,Divorced,PhD,Unemployed,Home,BOGO,2023-09-02,2023-09-02,1,0,1
C1069,53,4,2,2.6527777777777777,48.99729800292577,128.4293813362591,18.0,0.2857212083137483,137,71,9246.915456210656,863,6742,0.6111111111111112,846,Other,Medium,Divorced,PhD,Self-Employed,Electronics,BOGO,2023-09-05,2023-09-05,1,0,1
C1070,64,1,3,2.9444444444444446,47.25144011397269,142.74487589747366,72.0,0.2833928331227655,144,82,10277.631064618103,1583,1649,0.6388888888888888,846,Male,Low,Married,PhD,Self-Employed,Beauty,no_promotion,2023-09-05,2023-09-05,0,0,1
C1071,48,3,2,2.986111111111111,46.790320384749634,142.09512782091556,24.0,0.26746683551270845,149,83,10230.849203105921,3311,7340,0.6111111111111112,853,Male,Low,Married,High School,Student,Beauty,no_promotion,2023-08-29,2023-08-29,0,0,1
C1072,19,10,4,3.5555555555555554,49.585364525571,175.01756921339512,7.199999999999999,0.21718697759513672,153,102,12601.264983364448,647,5508,0.5555555555555556,848,Female,Medium,Divorced,PhD,Employed,Clothing,no_promotion,2023-09-03,2023-09-03,1,0,1
C1073,60,5,4,2.8194444444444446,50.58867760466023,148.47797135663447,14.399999999999999,0.2959852494651391,159,49,10690.413937677682,3527,3870,0.5694444444444444,843,Male,Low,Divorced,Bachelor's,Self-Employed,Electronics,no_promotion,2023-09-08,2023-09-08,0,1,1
C1074,65,2,1,2.7222222222222223,50.57294781022182,137.7991523519984,36.0,0.296918915969638,134,61,9921.538969343885,1799,6528,0.5277777777777778,839,Other,High,Divorced,PhD,Self-Employed,Electronics,no_promotion,2023-09-12,2023-09-12,0,0,1
C1075,35,3,4,2.8055555555555554,51.25225857594352,144.48955350560834,24.0,0.230655061930917,155,55,10403.2478524038,3239,4447,0.7083333333333334,840,Other,High,Single,Master's,Student,Clothing,Discount,2023-09-11,2023-09-11,1,1,1
C1076,40,12,4,2.9722222222222223,51.20622963240409,155.59287593147485,6.0,0.30733742191518443,163,58,11202.687067066188,3671,3668,0.5833333333333334,845,Female,Low,Single,Master's,Unemployed,Sports,no_promotion,2023-09-06,2023-09-06,0,1,1
C1077,24,12,2,3.0416666666666665,53.23709449518969,163.70835565704604,6.0,0.23531095615045197,146,82,11787.001607307315,1151,6193,0.625,858,Other,Medium,Single,Master's,Retired,Home,no_promotion,2023-08-24,2023-08-24,0,0,1
C1078,38,15,4,2.861111111111111,49.71590146313159,143.089926611617,4.8,0.28184638646748966,157,59,10302.474716036422,3383,2435,0.6666666666666666,835,Other,High,Married,High School,Retired,Sports,Discount,2023-09-16,2023-09-16,0,1,1
C1079,26,7,4,2.9305555555555554,50.84409868109101,145.24528069551536,10.285714285714286,0.3419290251663708,134,84,10457.660210077105,2807,4025,0.5972222222222222,835,Other,Low,Divorced,Bachelor's,Employed,Electronics,no_promotion,2023-09-16,2023-09-16,0,0,1
C1080,70,3,2,2.8472222222222223,50.0962095731135,144.48053273689845,24.0,0.2618403250487123,147,62,10402.59835705669,1439,4521,0.5,834,Male,Medium,Single,PhD,Self-Employed,Clothing,no_promotion,2023-09-17,2023-09-17,1,1,1
C1081,46,10,1,3.2777777777777777,46.506192144726484,155.33929405696574,7.199999999999999,0.3061007237059308,145,95,11184.429172101532,2735,1743,0.7083333333333334,832,Other,High,Single,PhD,Unemployed,Books,BOGO,2023-09-19,2023-09-19,0,0,1
C1082,40,15,3,3.013888888888889,45.84955142070536,139.2105348813046,4.8,0.33736880832597405,132,90,10023.15851145393,2807,1868,0.6666666666666666,851,Other,Medium,Divorced,PhD,Self-Employed,Beauty,Discount,2023-08-31,2023-08-31,0,1,1
C1083,45,3,1,3.013888888888889,50.34031504163711,158.16157520818558,24.0,0.32814466617802207,153,63,11387.633414989361,3455,1436,0.6111111111111112,838,Male,Low,Married,Master's,Student,Books,no_promotion,2023-09-13,2023-09-13,0,0,1
C1084,35,6,2,2.5833333333333335,51.45574285749226,131.54949920774683,12.0,0.34646559154510537,134,59,9471.563942957771,935,7166,0.6388888888888888,840,Female,Low,Married,PhD,Unemployed,Beauty,no_promotion,2023-09-11,2023-09-11,1,0,1
C1085,34,13,4,2.9722222222222223,52.424657465552336,157.14487048666024,5.538461538461538,0.3184941543811883,126,92,11314.430675039537,3383,5324,0.6527777777777778,829,Other,High,Married,Bachelor's,Self-Employed,Beauty,Discount,2023-09-22,2023-09-22,1,0,1
C1086,68,2,3,3.1527777777777777,50.7378004534024,157.51439625805403,36.0,0.2479089546107361,154,77,11341.036530579891,863,1663,0.6111111111111112,829,Other,Low,Married,PhD,Self-Employed,Home,no_promotion,2023-09-22,2023-09-22,1,0,1
C1087,56,15,1,3.1666666666666665,50.97076535922824,160.4779225480241,4.8,0.2353198726215457,165,68,11554.410423457735,935,5912,0.5416666666666666,828,Male,High,Single,Master's,Retired,Sports,no_promotion,2023-09-23,2023-09-23,1,0,1
C1088,44,9,1,3.263888888888889,44.48087563833353,145.88586366444522,8.0,0.28020584694218215,178,62,10503.782183840056,1583,4119,0.5972222222222222,831,Male,High,Single,High School,Retired,Books,no_promotion,2023-09-20,2023-09-20,0,0,1
C1089,49,8,4,2.8472222222222223,49.89041700037857,142.4265287789135,9.0,0.335755736968042,146,59,10254.710072081773,1367,1138,0.7083333333333334,825,Other,Low,Single,High School,Retired,Beauty,BOGO,2023-09-26,2023-09-26,1,1,1
C1090,64,12,2,2.9722222222222223,48.88572432732338,146.67647853752567,6.0,0.3202720735950717,158,58,10560.706454701849,1727,2803,0.5138888888888888,831,Male,Medium,Married,Bachelor's,Student,Electronics,no_promotion,2023-09-20,2023-09-20,0,0,1
