customer_id,age,gender,income_bracket,loyalty_program,membership_years,marital_status,number_of_children,education_level,occupation,transaction_id,transaction_date,product_category,quantity,unit_price,avg_purchase_value,purchase_frequency,last_purchase_date,avg_discount_used,online_purchases,in_store_purchases,total_sales,total_transactions,total_items_purchased,promotion_type,promotion_effectiveness,days_since_last_purchase,churn
C1000,33,Other,Medium,Yes,1,Divorced,2,Master's,Retired,T1000,2023-01-01,Electronics,1,75.45668142001342,,,2023-01-01,11.33685322284007,6,0,1563.705816815419,41,55,,Medium,181,0
C1001,52,Female,Medium,Yes,8,Divorced,3,Master's,Unemployed,T1001,2023-01-02,Toys,4,36.8752822237236,144.8095873758604,Daily,2023-01-02,5.539578469529545,6,6,2857.2031998186217,50,100,20% Off,Low,180,0
C1002,67,Female,High,Yes,10,Divorced,4,Bachelor's,Student,T1002,2023-01-03,Groceries,3,154.9380883079666,51.575055366587165,,2023-01-03,14.328143387043417,8,5,49.21361290660269,41,23,Buy One Get One Free,High,179,0
C1003,32,Female,Medium,Yes,4,Single,3,Bachelor's,Employed,T1003,2023-01-04,Home Goods,5,194.4532407220932,55.86624860310911,Daily,2023-01-04,10.883620836964743,3,10,,31,27,Seasonal Discount,Low,178,0
C1004,34,Male,High,Yes,10,Single,4,Bachelor's,Self-Employed,T1004,2023-01-05,Toys,4,11.192892111853311,61.73114990896348,Weekly,2023-01-05,13.629738377996562,4,1,4903.628458567326,28,17,Buy One Get One Free,Medium,177,0
C1005,37,Male,Low,No,5,Divorced,2,Bachelor's,Retired,T1005,2023-01-06,Toys,1,6.0056146087811895,73.17933510004772,Daily,2023-01-06,10.56587716784563,3,1,4905.979186983883,39,26,20% Off,Medium,176,0
C1006,64,Other,Low,No,7,Married,1,High School,Retired,T1006,2023-01-07,Clothing,5,62.501272822938766,6.009838244903825,Monthly,2023-01-07,5.11212101748378,3,0,4941.666953740977,9,36,20% Off,High,175,0
C1007,44,Female,High,Yes,7,Divorced,2,High School,Retired,T1007,2023-01-08,Electronics,3,177.78541396881948,59.9515768848301,Weekly,2023-01-08,13.066465081831671,2,2,3848.958178769885,14,97,20% Off,Low,174,0
C1008,41,Other,High,Yes,11,Married,4,Master's,Student,T1008,2023-01-09,Groceries,4,174.55035210544202,116.93750768234182,Monthly,2023-01-09,14.482828090247468,9,4,3097.854874856728,29,87,Buy One Get One Free,Low,173,0
C1009,51,Other,Medium,No,9,Divorced,2,PhD,Employed,T1009,2023-01-10,Home Goods,5,48.21257806687319,136.5143576927813,Yearly,2023-01-10,8.204784497503,8,4,2300.2587872360964,26,15,20% Off,Low,172,0
C1010,31,Female,Low,Yes,3,Single,3,PhD,Retired,T1010,2023-01-11,Home Goods,1,95.61652697320916,143.45020328046843,Weekly,2023-01-11,5.753169645010456,6,10,3152.0225605333835,39,17,Buy One Get One Free,Low,171,0
C1011,32,Other,Medium,No,2,Married,1,Master's,Retired,T1011,2023-01-12,Home Goods,3,174.57479297915208,25.46523891727847,Weekly,2023-01-12,11.986381107432443,1,2,1718.8298514938715,46,69,,Medium,170,0
C1012,43,Other,Medium,No,10,Married,0,PhD,Employed,T1012,2023-01-13,Home Goods,1,164.5360511555817,134.69741419386617,Weekly,2023-01-13,10.453088169253771,5,4,600.1435576669747,45,27,,Medium,169,0
C1013,36,Female,High,No,14,Single,1,High School,Self-Employed,T1013,2023-01-14,Toys,3,125.08022310410114,7.834592991980648,Daily,2023-01-14,6.107002276243692,8,0,1189.4225337949438,24,28,Buy One Get One Free,Low,168,0
C1014,41,Female,High,Yes,10,Single,1,PhD,Self-Employed,T1014,2023-01-15,Home Goods,1,19.645189615848764,,Weekly,2023-01-15,11.525479826889432,9,2,-896.2296805818912,7,85,Seasonal Discount,Medium,167,0
